BID ,Product name
0,unknown
1,Chain Encoder
2,Chain Angle
3,Chain Key
4,Chain Joystick
5,Chain ToF
6,Unit ChainBus
7,Chain Switch
8,Chain Pedal
9,Chain PIR
10,Chain MIC
11,Chain Buzzer
12,Unit 8Servos2 Chain
13,Chain Mono
14,Chain RGB
